,tp,bcdry,LWin,SWin,sp,dustwet,ocwet,tcc,temp,dustdry,uwind,ocdry,bcwet,rh
2024-04-24 19:00:00,9.709596e-06,7.530088e-14,880549.1,1.8927e+06,86989.14,4.6771476e-12,5.0413007e-12,0.34545898,-0.17550659,9.983125e-13,-2.2279387,1.0182966e-12,5.835332e-13,87.680534
2024-04-24 20:00:00,1.1640786e-05,7.1498376e-14,877653.5,2.0718e+06,86994.164,4.9045212e-12,4.51017e-12,0.3453369,0.054473877,9.885426e-13,-2.0647774,9.5568e-13,5.7265304e-13,87.9659
2024-04-24 21:00:00,8.305908e-06,7.399641e-14,872291.7,2.196e+06,87001.1,1.9362294e-12,3.1574743e-12,0.28222656,0.3397827,9.361401e-13,-2.099927,1.0573764e-12,2.8199665e-13,86.43911
2024-04-24 22:00:00,2.527982e-06,6.711305e-14,848880.4,2.2302e+06,87005.95,1.2216896e-12,2.85727e-12,0.2230835,0.5718384,8.253398e-13,-1.9247041,9.6545e-13,2.21434e-13,84.871
2024-04-24 23:00:00,9.5218417e-07,5.6191258e-14,838864.6,2.1213e+06,87007.83,1.2922997e-12,3.5313976e-12,0.20214844,0.7301636,6.4726024e-13,-1.7868756,8.3444406e-13,2.5679459e-13,83.40549
2024-04-25 00:00:00,2.1271408e-06,3.989864e-14,845286.7,1.872e+06,87006.57,2.6849634e-12,4.28102e-12,0.25500488,0.8569641,4.0789594e-13,-1.6532099,6.1151166e-13,4.0500936e-13,82.31295
2024-04-25 01:00:00,1.2811274e-06,2.780415e-14,853594.5,1.49265e+06,87007.38,1.3651303e-12,1.906919e-12,0.22424316,0.9168091,3.130829e-13,-1.2318414,3.984605e-13,1.9584334e-13,83.75639
2024-04-25 02:00:00,4.656613e-07,1.4821603e-14,837233.4,1.10835e+06,87006.836,4.57412e-13,7.8181905e-13,0.15667725,0.8487549,2.0206059e-13,-1.0044662,1.8901714e-13,7.1304074e-14,84.17151
2024-04-25 03:00:00,2.1718444e-07,5.6100957e-15,809022.6,699525.0,87009.67,2.1566086e-13,4.4231285e-13,0.053024292,0.7026367,1.112721e-13,-0.9474287,5.5316862e-14,3.641532e-14,84.03422
2024-04-25 04:00:00,9.8859886e-08,4.591813e-15,787242.1,298575.0,87011.055,1.182943e-13,1.980638e-13,0.036987305,0.3728943,1.0194623e-13,-0.77635765,4.1119885e-14,1.79648e-14,86.41617
2024-04-25 05:00:00,1.9691651e-08,4.203235e-15,783698.7,28785.938,87008.18,1.6008103e-14,2.2377938e-14,0.023216248,-0.6657715,9.700574e-14,-0.83325815,3.6054493e-14,2.2377975e-15,81.42186
2024-04-25 06:00:00,5.3449183e-09,4.1390502e-15,777207.3,0.0,87012.586,0.0,0.0,0.010387421,-1.8632507,9.636736e-14,-0.759099,3.5207948e-14,0.0,79.88397
2024-04-25 07:00:00,2.9569494e-09,4.114764e-15,774495.06,0.0,87029.4,0.0,0.0,0.007946014,-2.8220825,9.6145314e-14,-0.5248709,3.4833247e-14,0.0,81.42598
2024-04-25 08:00:00,1.6916601e-09,4.1112946e-15,771744.2,0.0,87048.82,0.0,0.0,0.005718231,-3.6185608,9.628409e-14,-0.19511473,3.472223e-14,0.0,83.42771
2024-04-25 09:00:00,1.0317307e-09,4.0922127e-15,770525.6,0.0,87060.91,0.0,0.0,0.0039253244,-4.1586,9.6256336e-14,0.04874599,3.4486303e-14,0.0,84.645424
2024-04-25 10:00:00,7.3250706e-10,4.0488446e-15,770767.6,0.0,87069.836,0.0,0.0,0.0029335022,-4.500885,9.581225e-14,0.21164727,3.3958947e-14,0.0,85.07455
2024-04-25 11:00:00,6.379196e-10,4.0176196e-15,770980.3,0.0,87070.45,0.0,0.0,0.0028667455,-4.7864685,9.561796e-14,0.4010352,3.3487102e-14,0.0,85.25367
2024-04-25 12:00:00,8.276402e-10,4.002008e-15,771091.25,0.0,87064.4,0.0,0.0,0.0028305058,-5.0359497,9.603429e-14,0.67028797,3.3154035e-14,0.0,85.226555
2024-04-25 13:00:00,7.916242e-10,3.9915996e-15,770718.25,1805.2734,87064.984,0.0,0.0,0.002779007,-5.2440186,9.697798e-14,0.92321885,3.283485e-14,0.0,84.94095
